invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S04323600017,2012-02-29,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081030.0,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67527,Kahlua Coffee Liqueur,12,1000,14.81,22.22,48,1066.56,48.0,12.68
S31736100160,2016-04-12,5244,The Ox & Wren Spirits and Gifts,"708, 2nd  AVE  SE",CRESCO,52136,POINT (-92.106529 43.371131),,,1081365.0,TROPICAL FRUIT SCHNAPPS,421,"Sazerac Co., Inc.",83907,Maui Blue Hawaiian Schnapps,12,1000,4.54,6.81,4,27.24,4.0,1.06
INV-42749000001,2021-12-09,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402.0,POINT (-91.67969 42.031819),57,LINN,1081100,Coffee Liqueurs,421,SAZERAC COMPANY  INC,73136,Chila Coffee Liqueur,12,750,4.97,7.46,36,268.56,27.0,7.13
S04580000198,2012-03-15,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,Linn,1081335.0,RASPBERRY SCHNAPPS,65,Jim Beam Brands,82837,Dekuyper Raspberry Pucker,12,1000,7.35,11.02,4,44.08,4.0,1.06
S28577600009,2015-10-20,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31,Dubuque,1081370.0,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06
S05363000003,2012-05-03,4638,GD Xpress / Davenport,4607 N PINE ST,DAVENPORT,52804,,82,Scott,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,1408,Crown Royal W/50ml Crown Royal Black,12,800,14.25,21.38,12,256.56,9.6,2.54
INV-03315600015,2017-02-16,3814,Costco Wholesale #788,7205 Mills Civic Pkwy,West Des Moines,50266.0,POINT (-93.806489 41.561342),25,Dallas,1012300.0,Single Malt Scotch,240,William Grant & Sons Inc,5014,Glenfiddich 15 Yr Solera Reserva,12,750,32.51,48.77,36,1728.0,27.0,7.13
INV-28823100001,2020-07-20,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411.0,POINT (-91.701581 42.030129),57,LINN,1091200.0,Neutral Grain Spirits,434,LUXCO INC,941836,Everclear 190prf,12,750,10.84,16.26,60,975.6,45.0,11.88
INV-23659700178,2019-12-04,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265.0,POINT (-93.773557 41.561197),77,POLK,1012300.0,Single Malt Scotch,370,PERNOD RICARD USA,5038,Glenlivet 12YR,6,1750,43.47,65.21,3,195.63,5.25,1.38
S30479100027,2016-02-01,3628,Wal-Mart 1528 / Cedar Rapids,2645 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.680734 42.034748),57,Linn,1031100.0,100 PROOF VODKA,297,Laird And Company,35916,Five O'clock Vodka,12,750,3.37,5.06,36,182.16,27.0,7.13
S10590100027,2013-02-13,3705,Liquor Locker,507 1ST AVE #100,ROCK RAPIDS,51246,,60,Lyon,1081010.0,AMERICAN AMARETTO,434,Luxco-St Louis,76487,Paramount Amaretto,12,1000,4.04,6.06,4,24.24,4.0,1.06
S32231300028,2016-05-10,2565,Hy-Vee Food Store / Spencer,819 N Grand Ave,Spencer,51301,POINT (-95.14506 43.145897),21,Clay,1081030.0,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67528,Kahlua Coffee Liqueur,6,1750,24.99,37.49,3,112.47,5.25,1.39
S19307500020,2014-06-03,4924,Abby Lea's,"2757, CHARLES CITY RD",NASHUA,50658,POINT (-92.547524 42.959023),19,Chickasaw,1081312.0,BUTTERSCOTCH SCHNAPPS,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,7.62,11.43,4,45.72,4.0,1.06
S17951300030,2014-03-18,3816,Swils,200 E OAK ST,RED OAK,51566,POINT (-95.230032 41.016691),69,Montgomery,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,17.99,26.99,4,107.96,4.0,1.06
S03589200114,2012-01-17,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85,Story,1081030.0,COFFEE LIQUEURS,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.13,12.2,4,48.8,4.0,1.06
S09239100003,2012-11-29,4126,Sam's Mainstreet Market / Solon,123 E MAIN ST,SOLON,52333,POINT (-91.494611 41.807199),52,Johnson,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,30,813.9,22.5,5.94
INV-14093900072,2018-08-28,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1st Ave,Iowa City,52240,,52,JOHNSON,1041300.0,American Sloe Gins,434.0,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52
INV-29684500006,2020-08-24,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265.0,POINT (-93.773557 41.561197),77,POLK,1700000.0,Temporary &  Specialty Packages,566,"Foundry Distilling Company, LLC",26243,Midnight Ritual,6,750,30.33,45.5,60,2730.0,45.0,11.88
INV-25782600055,2020-03-10,3447,Sam's Club 6432 / Sioux City,4201 S. York St.,Sioux City,51106.0,POINT (-96.37082 42.43407),97,WOODBURY,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,48,168.0,48.0,12.68
S30775900083,2016-02-16,3963,Tobacco Hut #14 / Council Bluffs,1925 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.873073 41.261866),78,Pottawattamie,1081380.0,MISCELLANEOUS SCHNAPPS,55.0,Sazerac North America,84143,99 Cinnamon Mini,10,600,5.94,8.91,3,26.73,1.8,0.48
INV-27347000069,2020-05-19,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703.0,POINT (-92.337583 42.530476),7,BLACK HAWK,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.15,22.73,2,45.46,2.0,0.52
INV-28597500002,2020-07-09,2675,Hy-Vee #2 / Coralville,3285 Crosspark Rd,Coralville,52241.0,POINT (-91.60627100000002 41.721438),52,JOHNSON,1011600.0,Straight Rye Whiskies,619,Campari America,927117,Wild Turkey 101 Rye,6,1000,19.2,28.8,6,172.8,6.0,1.58
S05744600086,2012-05-25,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081317.0,GRAPE SCHNAPPS,65,Jim Beam Brands,82637,Dekuyper Grape Pucker,12,1000,7.35,11.02,48,528.96,48.0,12.68
S25593900018,2015-05-12,3912,Smokin' Joe's #14 Tobacco and Liquor,225 EDGEWOOD RD,CEDAR RAPIDS,52405,,57,Linn,1051100.0,APRICOT BRANDIES,259,Heaven Hill Brands,52314,Christian Bros Brandy,24,375,3.23,4.85,5,24.25,1.88,0.5
INV-23172800009,2019-11-12,3881,7 Rayos Liquor Store,120 E Main St,Marshalltown,50158,POINT (-92.9104 42.049166),64,MARSHALL,1011600.0,Straight Rye Whiskies,255.0,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,4,126.0,4.0,1.05
INV-09755600006,2018-01-11,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14,CARROLL,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,60,442.8,60.0,15.85
INV-14946200033,2018-10-09,4277,Cork It!,769 Prospect St SW,Le Mars,51031,POINT (-96.178219 42.776296),75,PLYMOUTH,1012300.0,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,28.48,42.72,2,85.44,2.0,0.52
S19901700147,2014-07-02,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,84,960.12,84.0,22.19
INV-42736900005,2021-12-09,6147,Bani's / Cedar Falls,2128 College St,Cedar Falls,50613.0,POINT (-92.455801 42.518019),7,BLACK HAWK,1011500,Bottled in Bond Bourbon,259,Heaven Hill Brands,16096,Evan Williams Bottled in Bond,12,750,10.0,15.0,8,120.0,6.0,1.58
S04692900095,2012-03-22,4180,Smokin' Joe's #10 Tobacco and Liquor,480 7TH AVE,MARION,52302,POINT (-91.605094 42.033366),57,Linn,1031100.0,100 PROOF VODKA,434,Luxco-St Louis,36301,Hawkeye Vodka 80 Prf Mini,12,500,3.73,5.59,5,27.95,2.5,0.66
INV-03431900009,2017-02-23,2515,Hy-Vee Food Store #1 / Mason City,2400 4th St SW,Mason City,50401.0,POINT (-93.23551 43.149557),17,CERRO GORD,1081100.0,Coffee Liqueurs,410,Patron Spirits Company,67595,Patron Xo Cafe,6,750,14.0,21.0,36,756.0,27.0,7.13
INV-27473000112,2020-05-26,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588.0,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.15,22.73,4,90.92,4.0,1.05
INV-28872000033,2020-07-21,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702.0,POINT (-92.353103 42.456374),7,BLACK HAWK,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,144,522.72,144.0,38.04
S22763900002,2014-12-08,3618,Wal-Mart 2716 / Cedar Rapids,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.718042 41.949215),57,Linn,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,1400,Crown Royal w/2 Glasses,6,750,14.99,22.49,132,2968.68,99.0,26.15
S27949300065,2015-09-16,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,POINT (-94.974011 42.421341),81,Sac,1081010.0,AMERICAN AMARETTO,434,Luxco-St Louis,76487,Paramount Amaretto,12,1000,4.05,6.08,4,24.32,4.0,1.06
S07128200006,2012-08-15,3734,"Shortee's Pit Stop, Inc.",215 S RERICK AVE,PRIMGHAR,51245,POINT (-95.624301 43.085223),71,O'Brien,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82849,Dekuyper Peachtree Schnapps Pet,6,1750,11.02,16.53,3,49.59,5.25,1.39
INV-33705600075,2021-01-22,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001.0,POINT (-90.666497 42.49721900000001),31,DUBUQUE,1081100,Coffee Liqueurs,370.0,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.99,23.99,4,95.96,4.0,1.05
INV-39324900014,2021-08-18,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266.0,POINT (-93.808855 41.598515),77,POLK,1062100.0,Gold Rum,619,Campari America,43797,Appleton Estate Signature Blend,12,750,11.0,16.5,36,594.0,27.0,7.13
INV-23497000072,2019-11-26,2538,Hy-Vee Food Store #3 / Waterloo,1422 Flammang Dr,Waterloo,50702,POINT (-92.327917 42.459938),7,BLACK HAWK,1041300.0,American Sloe Gins,434.0,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52
S30300400009,2016-01-21,2571,Hy-Vee Food Store #2 / Waterloo,2181 LOGAN AVE,WATERLOO,50703,POINT (-92.337583 42.530476),7,Black Hawk,1051110.0,BLACKBERRY BRANDIES,55,Sazerac North America,55066,Mr. Boston Blackberry Brandy,12,750,4.13,6.38,36,229.68,27.0,7.13
S30006400061,2016-01-04,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1081400.0,TRIPLE SEC,55,Sazerac North America,86390,Montezuma Triple Sec,12,1000,2.13,3.2,48,153.6,48.0,12.68
S30272400132,2016-01-19,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT (-95.825137 41.242732),78,Pottawattamie,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82849,Dekuyper Peachtree Schnapps Pet,6,1750,11.54,17.31,3,51.93,5.25,1.39
INV-09817900069,2018-01-16,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402.0,POINT (-91.668909 42.034799),57,LINN,1062300.0,Aged Dark Rum,35,BACARDI USA INC,43112,Bacardi Black,6,1750,15.0,22.5,3,67.5,5.25,1.39
S28223800025,2015-10-01,5043,West Side Liquor / Waterloo,919 W 5TH ST,WATERLOO,50702,POINT (-92.346356 42.488567),7,Black Hawk,1701100.0,DECANTERS & SPECIALTY PACKAGES,322,Prestige Wine and Spirits Group,339,Kinky Vodka Martini Pack,6,3600,10.0,15.0,3,45.0,10.8,2.85
S32227800009,2016-05-10,4584,J & C Grocery / Dumont,611 Main St,Dumont,50602,POINT (-92.973022 42.750551),12,Butler,1051100.0,APRICOT BRANDIES,434,Luxco-St Louis,54448,Paramount Apricot Flavored Brandy,6,1750,11.29,16.94,3,50.82,5.25,1.39
S23954200040,2015-02-10,2665,Hy-Vee / Waukee,1005 E HICKMAN RD,WAUKEE,50263,POINT (-93.854477 41.615059),25,Dallas,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84172,99 Bananas Mini,10,600,5.94,8.91,2,17.82,1.2,0.32
S16153500002,2013-12-09,4867,Speedy Gas N Shop,"430, S 35TH ST",COUNCIL BLUFFS,51501,POINT (-95.902023 41.257663),78,Pottawattamie,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36886,Mccormick Vodka,12,750,3.31,4.97,36,178.92,27.0,7.13
INV-18436000072,2019-03-29,2626,Hy-Vee Drugstore / University / DSM,4100 University Ave,Des Moines,50311,POINT (-93.673222 41.600361),77,POLK,,,55,SAZERAC NORTH AMERICA,84197,99 Pineapple Mini,10,600,6.0,9.0,10,90.0,6.0,1.58
INV-19093900217,2019-05-01,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804,,82,SCOTT,1062100.0,Gold Rum,434,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.84,11.76,3,35.28,5.25,1.38
S26158000033,2015-06-11,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.25,22.88,72,1647.36,72.0,19.02
S15363700043,2013-10-28,4222,Station Mart Liquor and Tobbacco,3594 LAFAYETTE ST,EVANSDALE,50707,,7,Black Hawk,1041200.0,AMERICAN SLOE GINS,434,Luxco-St Louis,33717,Paramount Sloe Gin,12,1000,5.17,7.75,5,38.75,5.0,1.32
S14074100015,2013-10-16,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,,77,Polk,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,30,813.9,22.5,5.94
INV-03729500014,2017-03-10,4669,Vom Fass / Des Moines,"833, 42nd St",Des Moines,50312.0,POINT (-93.674384 41.59343100000001),77,POLK,1901200.0,Special Order Items,885,YAHARA BAY DISTILLERS INC,901223,Whiskey Liqueur,6,200,11.65,17.48,6,104.88,1.2,0.32
INV-25801300028,2020-03-11,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501.0,POINT (-95.8792 41.238092),78,POTTAWATTA,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
INV-25952000033,2020-03-17,3784,Hartig Drug #14 / Independence,200  1st St East,Independence,50644.0,POINT (-91.893016 42.468721),10,BUCHANAN,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.15,22.73,2,45.46,2.0,0.52
INV-39594300161,2021-08-27,6209,Hy-Vee / Grimes,351 Northeast Gateway Drive,Grimes,50111.0,POINT (-93.779797 41.686088),77,POLK,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67522,Kahlua Coffee Mini,12,50,6.6,9.9,4,39.6,0.2,0.05
S22763500001,2014-12-08,4021,Wal-Mart 0985 / Fairfield,2701 W BURLINGTON AVE,FAIRFIELD,52556,POINT (-91.993721 41.006375),51,Jefferson,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,2870,Bailey's Original Irish Cream w/2 Glasses,6,750,13.24,19.86,36,714.96,27.0,7.13
INV-16525200058,2018-12-21,3417,Big G Food Store,Po Box 261  310 W Dillon,Marengo,52301.0,,48,IOWA,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,6,48.78,6.0,1.58
INV-28465000046,2020-07-03,2656,Hy-Vee Food Store / Corning,300  10th St,Corning,50841.0,POINT (-94.731809 40.991861),2,ADAMS,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,6,189.0,6.0,1.58
INV-33532900143,2021-01-18,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588.0,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1081500,Triple Sec,434.0,LUXCO INC,86310,La Prima Triple Sec,12,1000,3.0,4.5,2,9.0,2.0,0.52
INV-33564800030,2021-01-18,3920,Smokin' Joe's #11 Tobacco and Liquor Outlet,1606 Camanche Ave,Clinton,52732.0,POINT (-90.204748 41.827845),23,CLINTON,1081100,Coffee Liqueurs,370.0,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,3,29.22,1.12,0.29
INV-13007900062,2018-06-29,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501,POINT (-95.8792 41.238092),78,POTTAWATTA,1081500.0,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68
S30405800006,2016-01-28,4668,Clear Lake Payless Foods,20 SOUTH 4TH ST,CLEAR LAKE,50428,POINT (-93.380368 43.135941),17,Cerro Gordo,1032100.0,,277,Stoli Group,34748,Stolichnaya Russian Vodka 80 Prf,6,1750,21.33,32.0,3,96.0,5.25,1.39
INV-18161200024,2019-03-15,2228,Rodgers Spirits and More,53 Green St,Winterset,50273,POINT (-94.013374 41.336405),61,MADISON,1012300.0,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,28.98,43.47,2,86.94,2.0,0.52
S31661200073,2016-04-06,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,,48,Iowa,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.84,5.76,4,23.04,4.0,1.06
S28364100040,2015-10-08,2593,Hy-Vee Food Store / Carroll,905 US HIGHWAY 30 WEST,CARROLL,51401,POINT (-94.853591 42.064155),14,Carroll,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.92,7.38,120,885.6,120.0,31.7
S17554200026,2014-02-25,3542,Chuck's Sportsmans Beverage,244 W 4TH ST,ST ANSGAR,50472,POINT (-92.921298 43.378499),66,Mitchell,1081335.0,RASPBERRY SCHNAPPS,65,Jim Beam Brands,82837,Dekuyper Raspberry Pucker,12,1000,7.62,11.43,5,57.15,5.0,1.32
S06032300203,2012-06-12,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,POINT (-91.035138 41.451349),70,Muscatine,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,4,89.92,4.0,1.06
S05784900050,2012-05-30,4303,Mepo Foods,111 N WAPELLO,MEDIAPOLIS,52637,POINT (-91.170033 41.008539),29,Des Moines,1051110.0,BLACKBERRY BRANDIES,434,Luxco-St Louis,54647,Arrow Blackberry Flav Brandy,12,1000,6.25,9.38,4,37.52,4.0,1.06
INV-39158200046,2021-08-12,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702.0,POINT (-92.353103 42.456374),7,BLACK HAWK,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,72,252.0,72.0,19.02
INV-23763300015,2019-12-09,4170,Dewey's Jack and Jill,115 E Main St  Po Box 359,West Branch,52358.0,POINT (-91.343394 41.671391),16,CEDAR,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,3,29.22,1.12,0.29
S30337700003,2016-01-25,2507,Hy-Vee Food Store #1 / Burlington,939 ANGULAR,BURLINGTON,52601,POINT (-91.110752 40.801889),29,Des Moines,1051100.0,APRICOT BRANDIES,115,"Constellation Wine Company, Inc.",56803,Paul Masson Red Berry Grande Amber Brandy,24,200,1.96,2.94,24,70.56,4.8,1.27
S32215200072,2016-05-09,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,Polk,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.87,11.81,60,708.6,60.0,15.85
INV-14889000023,2018-10-08,2847,CVS Pharmacy #10032 / Marion,"3499, 7th Ave",Marion,52302,POINT (-91.57430300000001 42.035914),57,LINN,1062100.0,Gold Rum,434,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.84,11.76,3,35.28,5.25,1.38
S26973300005,2015-07-27,3882,Kwik Shop #579 / Davenport,2805 TELEGRAPH RD,DAVENPORT,52802,,82,Scott,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,3,33.63,5.25,1.39
S28240100165,2015-10-01,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081030.0,COFFEE LIQUEURS,410,The Patron Spirits Company,67595,Patron Xo Cafe,6,750,14.5,21.75,30,652.5,22.5,5.94
S15615900001,2013-11-07,3726,Wal-Mart 1285 / Ottumwa,1940 VENTURE DR,OTTUMWA,52501,POINT (-92.456896 41.01455),90,Wapello,1701100.0,DECANTERS & SPECIALTY PACKAGES,421,"Sazerac Co., Inc.",76436,Old St. Nick''s Egg Nog,12,750,3.64,5.46,132,720.72,99.0,26.15
S28408800029,2015-10-12,2448,Bottle Boutique,705 E. SECOND,INDIANOLA,50125,POINT (-93.55261600000001 41.358176),91,Warren,1081370.0,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06
S16655100118,2014-01-06,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT (-95.825137 41.242732),78,Pottawattamie,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15621,Jameson Mini,10,600,11.88,17.82,2,35.64,1.2,0.32
INV-29767000085,2020-08-26,2191,Keokuk Spirits,1013 Main,Keokuk,52632.0,POINT (-91.387797 40.400038),56,LEE,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,1,9.74,0.37,0.09
INV-29867900038,2020-08-31,2662,Hy-Vee Wine & Spirits / Muscatine,"522 Mulberry, Suite A",Muscatine,52761.0,POINT (-91.04437 41.426615),70,MUSCATINE,1901200.0,Special Order Items,85,Brown Forman Corp.,904046,SOOH Jack Daniels Sinatra,6,1000,100.0,150.0,6,900.0,6.0,1.58
INV-27701200066,2020-06-03,3390,Okoboji Avenue Liquor,1610 Okoboji Avenue,Milford,51351.0,POINT (-95.149955 43.331525),30,DICKINSON,1091100.0,American Distilled Spirit Specialty,578,S&B Farms Distillery,77050,Field Fire,6,750,12.0,18.0,18,324.0,13.5,3.56
INV-34192000016,2021-02-10,2684,Hy-Vee - Forest City,315 HWY 69 North,Forest City,50436.0,POINT (-93.63235 43.266826),95,WINNEBAGO,1700000,Temporary &  Specialty Packages,260.0,DIAGEO AMERICAS,101217,Captain Morgan OSR PET 6/1.75l  w/ 50ml CM Sliced Apple,6,1750,18.0,27.0,3,81.0,5.25,1.38
S24957600011,2015-04-08,4588,Sam's Mini Mart / Sioux City,"923, W 7TH ST",SIOUX CITY,51103,POINT (-96.419074 42.503495),97,Woodbury,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36886,Mccormick Vodka,12,750,3.31,4.97,36,178.92,27.0,7.13
INV-27204900226,2020-05-12,2572,Hy-Vee Food Store / Cedar Falls,6301 University,Cedar Falls,50613.0,POINT (-92.435236 42.512789),7,BLACK HAWK,1081500.0,Triple Sec,434,LUXCO INC,86507,Paramount Triple Sec,12,1000,3.84,5.76,5,28.8,5.0,1.32
INV-27163600034,2020-05-11,3744,Randy's Neighborhood Market / Dyersville,733 16th Ave SE,Dyersville,52040.0,POINT (-91.115769 42.470204),31,DUBUQUE,1081500.0,Triple Sec,434,LUXCO INC,86310,La Prima Triple Sec,12,1000,3.0,4.5,4,18.0,4.0,1.05
INV-27218800021,2020-05-13,5840,Brother's Market / Clarion,325 Central Ave West,Clarion,50525.0,POINT (-93.735875 42.731643),99,WRIGHT,1081100.0,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,6,75.54,6.0,1.58
INV-27254900001,2020-05-14,5251,Northside Liquor,1303 North Federal,Mason City,50401.0,POINT (-93.201061 43.163663),17,CERRO GORD,1091300.0,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,986730,Ole Smoky Blackberry Moonshine,6,750,12.5,18.75,18,337.5,13.5,3.56
INV-27306700126,2020-05-18,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241.0,POINT (-91.591868 41.682337000000004),52,JOHNSON,1092100.0,Imported Distilled Spirit Specialty,353,"John Ernest Distillery, Inc.",65750,Maestro Agavero Gold,12,1000,7.0,10.5,72,756.0,72.0,19.02
INV-33412400008,2021-01-13,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401.0,POINT (-91.659875 41.97574),57,LINN,1092100.0,Imported Distilled Spirit Specialty,293,JINRO AMERICA INC,989215,Jinro Chamisul Grapefruit Soju,20,375,3.0,4.5,20,90.0,7.5,1.98
INV-33441100009,2021-01-13,2675,Hy-Vee #2 / Coralville,3285 Crosspark Rd,Coralville,52241.0,POINT (-91.60627100000002 41.721438),52,JOHNSON,1012300.0,Single Malt Scotch,370,PERNOD RICARD USA,5924,GLENLIVET CARIBBEAN RESERVE,6,750,20.99,31.49,18,566.82,13.5,3.56
INV-33611700002,2021-01-20,5144,Sam's Club 6979 / Ankeny,4625 SE Delaware Ave,Ankeny,50021.0,POINT (-93.581273 41.691),77,POLK,1081500,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
