invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S15814600040,2013-11-22,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,POINT (-92.353103 42.456374),7,Black Hawk,1081700.0,DISTILLED SPIRITS SPECIALTY,421,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.76,96,648.96,96.0,25.36
INV-42633000084,2021-12-06,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761.0,POINT (-91.035301 41.450849),70,MUSCATINE,1062300,Aged Dark Rum,421,SAZERAC COMPANY  INC,42167,Myers's Original Dark Rum,12,1000,13.0,19.5,2,39.0,2.0,0.52
INV-03693600067,2017-03-09,2130,Sycamore Convenience,617 Sycamore,Waterloo,50703.0,POINT (-92.335358 42.497854),7,BLACK HAWK,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68
INV-06803500002,2017-08-22,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6th St SW,Cedar Rapids,52404,POINT (-91.67706 41.962419),57,LINN,1901200.0,Special Order Items,421,SAZERAC COMPANY  INC,980023,HA Buffalo Trace Bourbon Cream,12,750,10.4,15.6,7,109.2,5.25,1.39
INV-39085500006,2021-08-10,6148,Beer on Floyd / Sioux City,3132 Floyd Blvd,Sioux City,51108.0,POINT (-96.372185 42.531448000000005),97,WOODBURY,1091300.0,Neutral Grain Spirits Flavored,384,PIEDMONT DISTILLERS INC,76067,Midnight Moon Watermelon Mini,4,50,17.16,25.74,4,102.96,0.2,0.05
INV-39315500051,2021-08-18,3354,Sam's Club 8238 / Davenport,3845 Elmore Ave.,Davenport,52807.0,POINT (-90.527081 41.559731),82,SCOTT,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,48,168.0,48.0,12.68
INV-12960900092,2018-06-28,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401,POINT (-94.853591 42.064155),14,CARROLL,1092100.0,Imported Distilled Spirit Specialty,434.0,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,120,931.2,120.0,31.7
S32096400038,2016-05-02,2190,"Central City Liquor, Inc.",1460 2nd Ave,Des Moines,50314,POINT (-93.619787 41.60566),77,Polk,1051150.0,MISCELLANEOUS  BRANDIES,115,"Constellation Wine Company, Inc.",56803,Paul Masson Red Berry Grande Amber,24,200,1.96,2.94,4,11.76,0.8,0.21
INV-14992600119,2018-10-11,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.0,7.5,60,465.6,60.0,15.85
INV-15135300110,2018-10-18,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,120,435.6,120.0,31.7
S22201200035,2014-11-05,3973,Mmdg Spirits / Ames,126A WELCH AVE,AMES,50014,POINT (-93.650131 42.021789),85,Story,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,18.49,27.74,4,110.96,4.0,1.06
